"","Label","Pyr","Flux","Condition","Time.h"
"1","S1P6","C2",0.00525,"Pre-Drought",0.3372
"2","S1P3","C1",0.00853,"Pre-Drought",0.3324
"3","S2P7","C1",-0.00339,"Pre-Drought",0.33384
"4","S3P5","C1",-0.00361,"Pre-Drought",0.31992
"5","S1P4","C2",-0.00557,"Pre-Drought",0.35712
"6","S2P8","C2",-0.00652,"Pre-Drought",0.5052
"7","S2P4","C2",-0.00138,"Pre-Drought",0.34008
"8","S3P2","C2",0.00267,"Pre-Drought",0.32496
"9","S3P4","C2",-0.00341,"Pre-Drought",0.34128
"10","S1P1","C1",0.01232,"Pre-Drought",0.35256
"11","S1P3","C1",0.00989,"Pre-Drought",0.846
"12","S2P1","C1",0.02179,"Pre-Drought",0.33552
"13","S2P3","C1",-0.00322,"Pre-Drought",0.37752
"14","S2P7","C1",0.000793,"Pre-Drought",0.8472
"15","S3P5","C1",0.01428,"Pre-Drought",0.834
"16","S1P4","C2",-0.01032,"Pre-Drought",0.8712
"17","S1P6","C2",-0.00232,"Pre-Drought",1.36464
"18","S2P8","C2",0.000475,"Pre-Drought",1.01856
"19","S2P4","C2",-0.00388,"Pre-Drought",0.85392
"20","S2P6","C2",-0.000451,"Pre-Drought",0.34272
"21","S3P2","C2",0.00255,"Pre-Drought",0.8388
"22","S3P4","C2",0.00281,"Pre-Drought",0.85464
"23","S3P6","C2",0.01107,"Pre-Drought",0.3492
"24","S1P1","C1",0.01562,"Pre-Drought",0.8664
"25","S1P3","C1",-0.00305,"Pre-Drought",1.36008
"26","S2P1","C1",0.00167,"Pre-Drought",0.84936
"27","S2P3","C1",-0.00601,"Pre-Drought",0.62184
"28","S2P7","C1",-0.01029,"Pre-Drought",1.36008
"29","S3P1","C1",0.00556,"Pre-Drought",0.3372
"30","S3P3","C1",-0.009,"Pre-Drought",0.34416
"31","S3P5","C1",0.00533,"Pre-Drought",1.34832
"32","S1P4","C2",0.02011,"Pre-Drought",1.3848
"33","S1P6","C2",0.00309,"Pre-Drought",1.96344
"34","S2P8","C2",0.00215,"Pre-Drought",1.53144
"35","S2P4","C2",-0.000361,"Pre-Drought",1.36728
"36","S2P6","C2",0.00165,"Pre-Drought",0.85632
"37","S3P2","C2",0.00286,"Pre-Drought",1.35312
"38","S3P6","C2",0.00328,"Pre-Drought",0.8628
"39","S1P1","C1",-0.00635,"Pre-Drought",1.38
"40","S1P3","C1",0.000548,"Pre-Drought",1.95864
"41","S2P1","C1",-0.00212,"Pre-Drought",1.36272
"42","S2P3","C1",-0.00192,"Pre-Drought",1.1352
"43","S2P7","C1",-0.00201,"Pre-Drought",1.9584
"44","S3P1","C1",-0.00164,"Pre-Drought",0.85056
"45","S3P3","C1",-0.00485,"Pre-Drought",0.85776
"46","S3P5","C1",-0.00422,"Pre-Drought",1.86216
"47","S1P4","C2",0.00265,"Pre-Drought",1.9836
"48","S1P6","C2",-0.00652,"Pre-Drought",2.47704
"49","S2P8","C2",0.00544,"Pre-Drought",2.12976
"50","S2P4","C2",0.01237,"Pre-Drought",1.9656
"51","S2P6","C2",-0.01022,"Pre-Drought",1.36944
"52","S3P2","C2",-0.00463,"Pre-Drought",1.8672
"53","S3P4","C2",-0.01267,"Pre-Drought",1.96632
"54","S3P6","C2",-0.000269,"Pre-Drought",1.45992
"55","S1P1","C1",-0.000517,"Pre-Drought",1.9788
"56","S1P3","C1",-0.00716,"Pre-Drought",2.47224
"57","S2P1","C1",-0.01495,"Pre-Drought",1.96104
"58","S2P3","C1",0.00584,"Pre-Drought",1.64832
"59","S2P7","C1",0.01132,"Pre-Drought",2.47104
"60","S3P3","C1",-0.01204,"Pre-Drought",1.45488
"61","S3P5","C1",0.01431,"Pre-Drought",2.46072
"62","S1P4","C2",0.01178,"Pre-Drought",2.49696
"63","S1P6","C2",-0.01201,"Pre-Drought",2.99064
"64","S2P8","C2",3.96e-05,"Pre-Drought",2.6424
"65","S2P4","C2",0.00117,"Pre-Drought",2.4792
"66","S2P6","C2",-0.00175,"Pre-Drought",1.88304
"67","S3P2","C2",0.0061,"Pre-Drought",2.46528
"68","S3P4","C2",0.00607,"Pre-Drought",2.48016
"69","S3P6","C2",0.007,"Pre-Drought",1.97328
"70","S1P1","C1",-0.00424,"Pre-Drought",2.49216
"71","S1P3","C1",-0.00261,"Pre-Drought",2.98584
"72","S2P1","C1",-0.00535,"Pre-Drought",2.47464
"73","S2P3","C1",0.01332,"Pre-Drought",2.16192
"74","S2P7","C1",-0.01058,"Pre-Drought",2.9856
"75","S3P1","C1",-0.01749,"Pre-Drought",1.96248
"76","S3P3","C1",-0.000911,"Pre-Drought",1.96824
"77","S3P5","C1",0.00853,"Pre-Drought",2.97456
"78","S1P4","C2",-0.00393,"Pre-Drought",3.01128
"79","S1P6","C2",0.000951,"Pre-Drought",3.50424
"80","S2P8","C2",0.0102,"Pre-Drought",3.15696
"81","S2P4","C2",-9.88e-05,"Pre-Drought",2.99304
"82","S2P6","C2",0.01009,"Pre-Drought",2.48136
"83","S3P2","C2",-0.00228,"Pre-Drought",2.97936
"84","S3P4","C2",-0.00029,"Pre-Drought",2.99328
"85","S3P6","C2",0.00256,"Pre-Drought",2.4864
"86","S1P1","C1",0.00482,"Pre-Drought",3.00648
"87","S1P3","C1",-0.00212,"Pre-Drought",3.49944
"88","S2P1","C1",0.0197,"Pre-Drought",2.98872
"89","S2P3","C1",0.00596,"Pre-Drought",2.76024
"90","S2P7","C1",-0.01184,"Pre-Drought",3.49824
"91","S3P1","C1",-0.00157,"Pre-Drought",2.47608
"92","S3P3","C1",0.01494,"Pre-Drought",2.48136
"93","S3P5","C1",0.00986,"Pre-Drought",3.48864
"94","S1P4","C2",0.000497,"Pre-Drought",3.5244
"95","S1P6","C2",-0.00415,"Pre-Drought",4.10232
"96","S2P8","C2",-0.0041,"Pre-Drought",3.66984
"97","S2P4","C2",-0.00235,"Pre-Drought",3.50592
"98","S2P6","C2",0.00366,"Pre-Drought",2.99448
"99","S3P2","C2",0.000869,"Pre-Drought",3.49368
"100","S3P4","C2",0.02048,"Pre-Drought",3.50664
"101","S3P6","C2",0.00178,"Pre-Drought",3.00024
"102","S1P1","C1",-0.00403,"Pre-Drought",3.51984
"103","S1P3","C1",-0.00227,"Pre-Drought",4.09752
"104","S2P1","C1",-0.0124,"Pre-Drought",3.5016
"105","S2P3","C1",0.01115,"Pre-Drought",3.27336
"106","S2P7","C1",-0.00175,"Pre-Drought",4.09728
"107","S3P1","C1",0.00972,"Pre-Drought",2.9892
"108","S3P3","C1",-0.00881,"Pre-Drought",2.9952
"109","S3P5","C1",-0.01231,"Pre-Drought",4.00272
"110","S1P4","C2",0.00625,"Pre-Drought",4.12272
"111","S1P6","C2",0.01399,"Pre-Drought",4.61592
"112","S2P8","C2",0.00977,"Pre-Drought",4.26864
"113","S2P4","C2",0.00612,"Pre-Drought",4.104
"114","S2P6","C2",0.01195,"Pre-Drought",3.5076
"115","S3P2","C2",-0.00452,"Pre-Drought",4.00752
"116","S3P4","C2",0.00153,"Pre-Drought",4.10448
"117","S3P6","C2",0.000644,"Pre-Drought",3.59832
"118","S1P1","C1",0.01708,"Pre-Drought",4.11816
"119","S1P3","C1",-0.000683,"Pre-Drought",4.61112
"120","S2P1","C1",-0.00275,"Pre-Drought",4.09944
"121","S2P3","C1",0.00345,"Pre-Drought",3.78648
